Job Info
Name;Stine 48 h v?kstfors?g
Status;Completed
Job ID;9
Job last modified;06-06-2014 13:55:25

Repetitions;61
Time between repetitions;00:30:00
Time between repetitions starting from 12:00:00;01:00:00
Acquire started;04-06-2014 13:18:10
Acquire completed;06-06-2014 13:52:34
Acquire duration;48:34:24
Growth Kinetics Analysis plugin;FullImageFeatures.dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;14;6.79016863849645;0.932279937317733;4.98938709083618;0.65921448609644;8.66697051452808;0.020401171889425;25426
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;15;6.8637441128164;1.00585541163768;4.96081381312786;0.630641208388125;8.66814056132732;0.0215712186886652;27226
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;16;6.8524908418882;0.994602140709487;4.77564357561942;0.445470970879688;8.6700684932109;0.0234991505722526;29026
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;17;6.93192631575983;1.07403761458111;4.91505596095676;0.584883356217025;8.67062751980293;0.0240581771642798;30826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;18;6.98049780770491;1.1226091065262;5.07052355734492;0.740350952605181;8.66970428145778;0.0231349388191315;32626
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;19;7.04948854240771;1.19159984122899;5.00918033449536;0.67900772975562;8.6717834676987;0.0252141250600531;34426
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;20;7.06243678834504;1.20454808716632;4.94833576156893;0.618163156829191;8.67299534054293;0.026425997904278;36226
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;21;7.10611629878658;1.24822759760786;4.9524788222766;0.622306217536866;8.67382386764608;0.0272545250074305;38026
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;22;7.22409852609817;1.36620982491945;5.11259398098173;0.782421376241997;8.67571688248823;0.0291475398495766;39826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;23;7.27006356372792;1.41217486254921;4.9876102623093;0.657437657569561;8.67756573522969;0.0309963925910424;41626
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;24;7.48445823305028;1.62656953187156;5.17191942756555;0.841746822825817;8.68138993056455;0.0348205879259034;45226
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;25;7.59345205146261;1.73556335028389;5.16199836957963;0.831825764839891;8.68366112848006;0.0370917858414135;48826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;26;7.79021305317266;1.93232435199394;5.34891862072959;1.01874601598985;8.68828954582966;0.0417202031910104;52426
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;27;7.93574561890253;2.07785691772381;5.34477397538314;1.0146013706434;8.69227644876863;0.0457071061299796;56026
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;28;8.08133520144777;2.22344650026905;5.45699763981464;1.1268250350749;8.69716393601277;0.0505945933741216;59626
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;29;8.29472600146712;2.4368373002884;5.57272281214217;1.24255020740244;8.70662944347242;0.0600601008337698;63226
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;30;8.45725373381715;2.59936503263843;5.6728852838028;1.34271267906306;8.71702723635362;0.070457893714968;66826
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;31;8.60756192091349;2.74967321973477;5.709061793872;1.37888918913227;8.73218996722411;0.0856206245854576;70427
A10;95000.3815144668;4.62746099855975;2874.87617083644;209;2;10;32;8.70333477701908;2.84544607584036;5.75125839198163;1.4210857872419;8.74957758443553;0.103008241796882;74026
