Job Info
Name;Synergy, S, aureus del,mutants
Status;Completed
Job ID;10
Job last modified;11-06-2014 10:46:55

Repetitions;49
Time between repetitions;00:30:00
Acquire started;10-06-2014 10:39:39
Acquire completed;11-06-2014 10:44:01
Acquire duration;24:04:22
Growth Kinetics Analysis plugin;FullImageFeatures,dll

Name;ImageDistance;CameraStartPosition;Scan length;NumberOfImages;IlluminationLevel;IlluminationTime;TrayPosition;FocusPosition
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;7;5,58394909425111;-0,0211018456976255;4,10926326628832;0,130913959635736;8,62561016714009;-0,00523229663100011;12833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;8;5,53749596460819;-0,0675549753405376;3,97455718791813;-0,00379211873445007;8,62703911561556;-0,00380334815553063;14632
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;9;5,52305214215296;-0,0819987977957659;4,05941915697125;0,0810698503186735;8,62530882083568;-0,00553364293540959;16432
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;10;5,44220623281744;-0,162844707131295;3,94795705025589;-0,0303922563966927;8,62563790963032;-0,00520455414077858;18233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;11;5,34334922658209;-0,261701713366638;3,90392424326628;-0,0744250633863008;8,62555791034023;-0,00528455343086165;20032
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;12;5,46580769787326;-0,139243242075466;3,94606324663776;-0,0322860600148225;8,62512384649133;-0,00571861727976319;21833
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;13;5,34182324481224;-0,263227695136489;3,87133639778761;-0,107012908864967;8,62613115038873;-0,00471131338236042;23633
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;14;5,39244074072237;-0,21261019922636;3,96953484182596;-0,00881446482661863;8,6274121921558;-0,00343027161529541;25432
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;15;5,40367714367546;-0,201373796273275;3,96038990694982;-0,0179593997027601;8,62815505774231;-0,00268740602878559;27233
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;16;5,29430735769072;-0,310743582258016;3,94069713258384;-0,0376521740687457;8,62783762520667;-0,00300483856442391;29033
A10;95000,3815144668;4,62746099855975;3014,71278222481;208;2;10;17;5,27240910269097;-0,332641837257764;3,88595937039916;-0,0923899362534257;8,62434745829616;-0,00649500547493886;30833
